text,head,tail,url,date
Elias Boudinot to Richard Howell ,Elias Boudinot,Richard Howell,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019120)),NA
"Eliphalet Dyer to Jonathan Trumbull, Sr. ",Eliphalet Dyer,"Jonathan Trumbull, Sr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019141)),1782-09-25
Arthur Lee to Robert Morris ,Arthur Lee,Robert Morris,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019159)),1782-10-07
David Howell to Nicholas Brown ,David Howell,Nicholas Brown,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019177)),1782-10-12
Elias Boudinot to Lewis Pintard ,Elias Boudinot,Lewis Pintard,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019197)),1782-10-22
Elias Boudinot to Lewis Pintard ,Elias Boudinot,Lewis Pintard,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019216)),NA
Jonathan Arnold to Daniel Cahoon ,Jonathan Arnold,Daniel Cahoon,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019233)),1782-11-04
Charles Thomson to Robert Morris ,Charles Thomson,Robert Morris,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019255)),1782-11-12
David Howell to Theodore Foster ,David Howell,Theodore Foster,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019274)),1782-11-17
Elias Boudinot to George Washington ,Elias Boudinot,George Washington,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019297)),1782-11-27
Samuel Osgood to John Lowell ,Samuel Osgood,John Lowell,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019320)),1782-12-04
Elias Boudinot to John Lowell ,Elias Boudinot,John Lowell,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019343)),NA
James Madison to Edmund Randolph ,James Madison,Edmund Randolph,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019370)),1782-12-24
"James Madison to James Madison, Sr. ",James Madison,"James Madison, Sr.",/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019392)),NA
James Madison to Benjamin Harrison ,James Madison,Benjamin Harrison,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019411)),1783-01-07
Elias Boudinot to Lewis Pintard ,Elias Boudinot,Lewis Pintard,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019432)),1783-01-16
Hugh Williamson to Alexander Martin ,Hugh Williamson,Alexander Martin,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019456)),NA
Jonathan Arnold to Welcome Arnold ,Jonathan Arnold,Welcome Arnold,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019488)),NA
Elias Boudinot to Nathanael Greene ,Elias Boudinot,Nathanael Greene,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019507)),NA
Eliphalet Dyer to Thomas Shaw ,Eliphalet Dyer,Thomas Shaw,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019528)),1783-02-19
Samuel Holten to Thomas Cushing ,Samuel Holten,Thomas Cushing,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019549)),1783-02-26
Joseph Jones to James Hunter ,Joseph Jones,James Hunter,/cgi-bin/query/r?ammem/hlaw:@field(DOCID+@lit(dg019573)),1783-03-05
